Age:3month
  T/S      St_Cont   SI_Cont  ULI_Cont  LLI_Cont     Blood   UB_Cont  T_Bone-S  C_Bone-S     Other  T_Bone-V  C_Bone-V
  T/S      St_Cont   SI_Cont  ULI_Cont  LLI_Cont     Blood   UB_Cont  T_Bone-S  C_Bone-S     Other  T_Bone-V  C_Bone-V
Adrenals         0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
UB_Wall          0         0         0         0 9.612E-16 2.010E-13         0         0 1.031E-15         0         0
Bone_Sur         0         0         0         0 9.612E-16         0 1.153E-13 1.153E-13 1.031E-15 1.153E-14 6.917E-15
Brain            0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
Breasts          0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
St_Wall  1.179E-13         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
SI_Wall          0 8.759E-14         0         0 9.612E-16         0         0         0 1.031E-15         0         0
ULI_Wall         0         0 1.608E-13         0 9.612E-16         0         0         0 1.031E-15         0         0
LLI_Wall         0         0         0 2.541E-13 9.612E-16         0         0         0 1.031E-15         0         0
Kidneys          0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
Liver            0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
ET1-bas          0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
ET2-bas          0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
LN-ET            0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
BBi-bas          0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
BBi-sec          0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
bbe-sec          0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
AI               0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
LN-Th            0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
Muscle           0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
Ovaries          0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
Pancreas         0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
R_Marrow         0         0         0         0 9.612E-16         0 2.570E-14         0 1.031E-15 1.799E-14         0
Skin             0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
Spleen           0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
Testes           0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
Thymus           0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
Thyroid          0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
GB_Wall          0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
Ht_Wall          0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
Uterus           0         0         0         0 9.612E-16         0         0         0 1.031E-15         0         0
Age:15year
  T/S      St_Cont   SI_Cont  ULI_Cont  LLI_Cont     Blood   UB_Cont  T_Bone-S  C_Bone-S     Other  T_Bone-V  C_Bone-V
Adrenals         0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
UB_Wall          0         0         0         0 5.617E-16 1.774E-13         0         0 6.094E-16         0         0
Bone_Sur         0         0         0         0 5.617E-16         0 6.532E-14 6.532E-14 6.094E-16 6.532E-15 3.919E-15
Brain            0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
Breasts          0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
St_Wall  8.040E-14         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
SI_Wall          0 4.869E-14         0         0 5.617E-16         0         0         0 6.094E-16         0         0
ULI_Wall         0         0 8.908E-14         0 5.617E-16         0         0         0 6.094E-16         0         0
LLI_Wall         0         0         0 1.438E-13 5.617E-16         0         0         0 6.094E-16         0         0
Kidneys          0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
Liver            0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
ET1-bas          0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
ET2-bas          0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
LN-ET            0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
BBi-bas          0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
BBi-sec          0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
bbe-sec          0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
AI               0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
LN-Th            0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
Muscle           0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
Ovaries          0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
Pancreas         0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
R_Marrow         0         0         0         0 5.617E-16         0 1.493E-14         0 6.094E-16 1.045E-14         0
Skin             0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
Spleen           0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
Testes           0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
Thymus           0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
Thyroid          0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
GB_Wall          0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
Ht_Wall          0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
Uterus           0         0         0         0 5.617E-16         0         0         0 6.094E-16         0         0
Age:adult
  T/S      St_Cont   SI_Cont  ULI_Cont  LLI_Cont     Blood   UB_Cont  T_Bone-S  C_Bone-S     Other  T_Bone-V  C_Bone-V
Adrenals         0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
UB_Wall          0         0         0         0 4.555E-16 1.306E-13         0         0 4.951E-16         0         0
Bone_Sur         0         0         0         0 4.555E-16         0 6.532E-14 6.532E-14 4.951E-16 6.532E-15 3.919E-15
Brain            0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
Breasts          0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
St_Wall  6.271E-14         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
SI_Wall          0 3.919E-14         0         0 4.555E-16         0         0         0 4.951E-16         0         0
ULI_Wall         0         0 7.126E-14         0 4.555E-16         0         0         0 4.951E-16         0         0
LLI_Wall         0         0         0 1.161E-13 4.555E-16         0         0         0 4.951E-16         0         0
Kidneys          0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
Liver            0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
ET1-bas          0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
ET2-bas          0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
LN-ET            0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
BBi-bas          0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
BBi-sec          0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
bbe-sec          0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
AI               0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
LN-Th            0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
Muscle           0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
Ovaries          0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
Pancreas         0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
R_Marrow         0         0         0         0 4.555E-16         0 1.045E-14         0 4.951E-16 7.316E-15         0
Skin             0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
Spleen           0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
Testes           0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
Thymus           0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
Thyroid          0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
GB_Wall          0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
Ht_Wall          0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
Uterus           0         0         0         0 4.555E-16         0         0         0 4.951E-16         0         0
