Age:3month
  T/S      St_Cont   SI_Cont  ULI_Cont  LLI_Cont     Blood   UB_Cont  T_Bone-S  C_Bone-S     Other  T_Bone-V  C_Bone-V
Uterus   7.582E-22 1.748E-19 2.800E-20 4.211E-20 4.228E-14 2.886E-19 9.867E-22 9.290E-22 4.450E-14 9.867E-22 9.290E-22
Age:1year
  T/S      St_Cont   SI_Cont  ULI_Cont  LLI_Cont     Blood   UB_Cont  T_Bone-S  C_Bone-S     Other  T_Bone-V  C_Bone-V
Adrenals 8.498E-22 1.955E-22 1.988E-22 5.790E-23 1.566E-14 3.041E-23 4.702E-21 4.362E-21 1.666E-14 4.702E-21 4.362E-21
UB_Wall  5.920E-23 2.379E-21 1.483E-21 1.362E-20 1.566E-14 2.875E-12 1.323E-22 1.053E-22 1.666E-14 1.323E-22 1.053E-22
Bone_Sur 1.649E-21 4.751E-21 4.024E-21 1.346E-20 1.566E-14 3.513E-22 1.438E-13 8.627E-14 1.666E-14 1.437E-13 8.624E-14
Brain    5.119E-24 3.249E-24 3.202E-24 2.341E-24 1.566E-14 1.689E-24 6.361E-21 4.660E-21 1.666E-14 6.361E-21 4.660E-21
Breasts  2.328E-22 3.148E-23 3.753E-23 1.994E-23 1.566E-14 1.524E-23 2.339E-21 2.615E-21 1.666E-14 2.339E-21 2.615E-21
St_Wall  2.065E-12 5.457E-21 1.809E-20 2.895E-21 1.566E-14 6.097E-23 4.171E-22 5.952E-22 1.666E-14 4.171E-22 5.952E-22
SI_Wall  3.063E-21 1.408E-12 1.632E-19 8.085E-20 1.566E-14 1.751E-21 1.582E-21 9.573E-22 1.666E-14 1.582E-21 9.573E-22
ULI_Wall 1.020E-20 2.655E-19 2.604E-12 4.288E-20 1.566E-14 1.170E-21 1.681E-21 9.464E-22 1.666E-14 1.681E-21 9.464E-22
LLI_Wall 9.551E-22 9.841E-20 1.883E-20 4.084E-12 1.566E-14 1.306E-20 4.578E-21 2.867E-21 1.666E-14 4.578E-21 2.867E-21
Kidneys  5.500E-22 1.420E-21 6.946E-22 1.786E-22 1.566E-14 4.266E-23 2.040E-21 1.947E-21 1.666E-14 2.040E-21 1.947E-21
Liver    5.515E-21 3.243E-21 8.466E-21 7.554E-23 1.566E-14 4.776E-23 8.260E-22 9.269E-22 1.666E-14 8.260E-22 9.269E-22
ET1-bas  2.175E-23 9.644E-24 1.225E-23 7.995E-24 1.566E-14 6.306E-24 1.663E-22 1.637E-22 1.666E-14 1.663E-22 1.637E-22
ET2-bas  2.175E-23 9.644E-24 1.225E-23 7.995E-24 1.566E-14 6.306E-24 1.663E-22 1.637E-22 1.666E-14 1.663E-22 1.637E-22
LN-ET    2.175E-23 9.644E-24 1.225E-23 7.995E-24 1.566E-14 6.306E-24 1.663E-22 1.637E-22 1.666E-14 1.663E-22 1.637E-22
BBi-bas  2.062E-21 5.309E-23 6.409E-23 2.553E-23 1.566E-14 1.390E-23 2.133E-21 2.377E-21 1.666E-14 2.133E-21 2.377E-21
BBi-sec  2.062E-21 5.309E-23 6.409E-23 2.553E-23 1.566E-14 1.390E-23 2.133E-21 2.377E-21 1.666E-14 2.133E-21 2.377E-21
bbe-sec  2.062E-21 5.309E-23 6.409E-23 2.553E-23 1.566E-14 1.390E-23 2.133E-21 2.377E-21 1.666E-14 2.133E-21 2.377E-21
AI       2.062E-21 5.309E-23 6.409E-23 2.553E-23 1.566E-14 1.390E-23 2.133E-21 2.377E-21 1.666E-14 2.133E-21 2.377E-21
LN-Th    2.062E-21 5.309E-23 6.409E-23 2.553E-23 1.566E-14 1.390E-23 2.133E-21 2.377E-21 1.666E-14 2.133E-21 2.377E-21
Muscle   4.870E-21 5.894E-21 4.259E-21 5.823E-21 1.566E-14 7.296E-21 3.289E-21 3.113E-21 1.666E-14 3.289E-21 3.113E-21
Ovaries  1.631E-22 9.193E-20 7.206E-20 2.267E-19 1.566E-14 6.659E-21 1.487E-21 8.669E-22 1.666E-14 1.487E-21 8.669E-22
Pancreas 4.808E-20 8.002E-22 1.049E-21 1.727E-22 1.566E-14 4.567E-23 3.594E-22 3.582E-22 1.666E-14 3.594E-22 3.582E-22
R_Marrow 2.896E-22 1.424E-21 1.233E-21 4.076E-21 1.566E-14 1.344E-22 4.983E-13 3.290E-20 1.666E-14 3.488E-13 3.290E-20
Skin     5.556E-22 1.522E-22 1.951E-22 8.616E-22 1.566E-14 5.816E-22 3.582E-21 3.298E-21 1.666E-14 3.582E-21 3.298E-21
Spleen   7.550E-21 6.091E-22 5.015E-22 2.619E-22 1.566E-14 3.461E-23 8.662E-22 9.786E-22 1.666E-14 8.662E-22 9.786E-22
Testes   2.103E-23 1.166E-22 8.323E-23 2.009E-21 1.566E-14 1.275E-20 7.115E-23 1.125E-22 1.666E-14 7.115E-23 1.125E-22
Thymus   6.270E-23 2.187E-23 1.990E-23 1.273E-23 1.566E-14 1.022E-23 1.157E-21 1.287E-21 1.666E-14 1.157E-21 1.287E-21
Thyroid  2.175E-23 9.644E-24 1.225E-23 7.995E-24 1.566E-14 6.306E-24 1.663E-22 1.637E-22 1.666E-14 1.663E-22 1.637E-22
GB_Wall  1.319E-20 1.464E-20 6.655E-20 4.738E-22 1.566E-14 1.050E-22 1.071E-22 9.965E-23 1.666E-14 1.071E-22 9.965E-23
Ht_Wall  4.096E-21 5.128E-23 7.162E-23 3.024E-23 1.566E-14 1.817E-23 5.965E-22 6.667E-22 1.666E-14 5.965E-22 6.667E-22
Uterus   1.439E-22 4.647E-20 6.274E-21 9.452E-21 1.566E-14 7.565E-20 2.023E-22 1.351E-22 1.666E-14 2.023E-22 1.351E-22
Age:5year
  T/S      St_Cont   SI_Cont  ULI_Cont  LLI_Cont     Blood   UB_Cont  T_Bone-S  C_Bone-S     Other  T_Bone-V  C_Bone-V
Adrenals 2.586E-22 6.760E-23 7.307E-23 2.616E-23 7.682E-15 1.405E-23 1.792E-21 1.337E-21 8.200E-15 1.792E-21 1.337E-21
UB_Wall  2.641E-23 4.999E-22 3.355E-22 3.815E-21 7.682E-15 1.106E-12 5.920E-23 3.839E-23 8.200E-15 5.920E-23 3.839E-23
Bone_Sur 5.027E-22 1.646E-21 1.128E-21 4.289E-21 7.682E-15 7.753E-23 1.010E-13 6.062E-14 8.200E-15 1.010E-13 6.060E-14
Brain    3.008E-24 1.565E-24 1.685E-24 1.004E-24 7.682E-15 7.342E-25 1.530E-21 1.954E-21 8.200E-15 1.530E-21 1.954E-21
Breasts  8.611E-23 1.574E-23 1.555E-23 1.008E-23 7.682E-15 7.242E-24 1.137E-21 9.686E-22 8.200E-15 1.137E-21 9.686E-22
St_Wall  9.952E-13 2.499E-21 6.617E-21 5.550E-22 7.682E-15 2.429E-23 1.045E-22 1.662E-22 8.200E-15 1.045E-22 1.662E-22
SI_Wall  9.355E-22 7.051E-13 6.978E-20 3.386E-20 7.682E-15 4.085E-22 9.376E-22 3.341E-22 8.200E-15 9.376E-22 3.341E-22
ULI_Wall 3.637E-21 1.297E-19 1.291E-12 2.034E-20 7.682E-15 3.101E-22 1.224E-21 7.330E-22 8.200E-15 1.224E-21 7.330E-22
LLI_Wall 2.583E-22 4.808E-20 7.855E-21 2.042E-12 7.682E-15 4.072E-21 2.835E-21 1.107E-21 8.200E-15 2.835E-21 1.107E-21
Kidneys  2.099E-22 4.752E-22 2.899E-22 7.106E-23 7.682E-15 2.220E-23 9.957E-22 5.681E-22 8.200E-15 9.957E-22 5.681E-22
Liver    1.368E-21 1.295E-21 2.875E-21 2.933E-23 7.682E-15 2.240E-23 3.459E-22 3.062E-22 8.200E-15 3.459E-22 3.062E-22
ET1-bas  1.073E-23 4.413E-24 5.874E-24 3.642E-24 7.682E-15 2.768E-24 6.770E-23 7.294E-23 8.200E-15 6.770E-23 7.294E-23
ET2-bas  1.073E-23 4.413E-24 5.874E-24 3.642E-24 7.682E-15 2.768E-24 6.770E-23 7.294E-23 8.200E-15 6.770E-23 7.294E-23
LN-ET    1.073E-23 4.413E-24 5.874E-24 3.642E-24 7.682E-15 2.768E-24 6.770E-23 7.294E-23 8.200E-15 6.770E-23 7.294E-23
BBi-bas  5.985E-22 2.049E-23 2.406E-23 1.138E-23 7.682E-15 6.818E-24 8.437E-22 7.314E-22 8.200E-15 8.437E-22 7.314E-22
BBi-sec  5.985E-22 2.049E-23 2.406E-23 1.138E-23 7.682E-15 6.818E-24 8.437E-22 7.314E-22 8.200E-15 8.437E-22 7.314E-22
bbe-sec  5.985E-22 2.049E-23 2.406E-23 1.138E-23 7.682E-15 6.818E-24 8.437E-22 7.314E-22 8.200E-15 8.437E-22 7.314E-22
AI       5.985E-22 2.049E-23 2.406E-23 1.138E-23 7.682E-15 6.818E-24 8.437E-22 7.314E-22 8.200E-15 8.437E-22 7.314E-22
LN-Th    5.985E-22 2.049E-23 2.406E-23 1.138E-23 7.682E-15 6.818E-24 8.437E-22 7.314E-22 8.200E-15 8.437E-22 7.314E-22
Muscle   1.731E-21 2.447E-21 1.578E-21 2.291E-21 7.682E-15 2.860E-21 1.410E-21 1.173E-21 8.200E-15 1.410E-21 1.173E-21
Ovaries  5.591E-23 3.509E-20 3.044E-20 9.453E-20 7.682E-15 1.701E-21 6.451E-22 2.258E-22 8.200E-15 6.451E-22 2.258E-22
Pancreas 1.924E-20 1.927E-22 3.075E-22 5.083E-23 7.682E-15 2.032E-23 1.625E-22 1.182E-22 8.200E-15 1.625E-22 1.182E-22
R_Marrow 1.257E-22 8.604E-22 5.978E-22 2.232E-21 7.682E-15 5.789E-23 2.336E-13 1.488E-20 8.200E-15 1.635E-13 1.488E-20
Skin     1.909E-22 5.479E-23 5.746E-23 3.555E-22 7.682E-15 1.837E-22 9.989E-22 1.172E-21 8.200E-15 9.989E-22 1.172E-21
Spleen   2.645E-21 1.546E-22 1.323E-22 7.085E-23 7.682E-15 1.668E-23 3.399E-22 3.037E-22 8.200E-15 3.399E-22 3.037E-22
Testes   1.242E-23 3.849E-23 3.392E-23 4.512E-22 7.682E-15 3.035E-21 2.869E-23 3.188E-23 8.200E-15 2.869E-23 3.188E-23
Thymus   3.260E-23 8.530E-24 1.259E-23 6.934E-24 7.682E-15 5.106E-24 4.792E-22 4.100E-22 8.200E-15 4.792E-22 4.100E-22
Thyroid  1.073E-23 4.413E-24 5.874E-24 3.642E-24 7.682E-15 2.768E-24 6.770E-23 7.294E-23 8.200E-15 6.770E-23 7.294E-23
GB_Wall  5.551E-21 6.005E-21 2.592E-20 1.376E-22 7.682E-15 3.995E-23 6.622E-23 4.414E-23 8.200E-15 6.622E-23 4.414E-23
Ht_Wall  1.303E-21 2.472E-23 3.189E-23 1.654E-23 7.682E-15 8.112E-24 2.489E-22 2.113E-22 8.200E-15 2.489E-22 2.113E-22
Uterus   5.068E-23 1.409E-20 1.201E-21 1.614E-21 7.682E-15 2.305E-20 9.355E-23 4.102E-23 8.200E-15 9.355E-23 4.102E-23
Age:10year
  T/S      St_Cont   SI_Cont  ULI_Cont  LLI_Cont     Blood   UB_Cont  T_Bone-S  C_Bone-S     Other  T_Bone-V  C_Bone-V
Adrenals 1.562E-22 3.690E-23 3.387E-23 1.515E-23 4.583E-15 9.327E-24 1.001E-21 5.983E-22 4.913E-15 1.001E-21 5.983E-22
UB_Wall  1.546E-23 1.769E-22 1.244E-22 1.497E-21 4.583E-15 9.582E-13 3.668E-23 1.737E-23 4.913E-15 3.668E-23 1.737E-23
Bone_Sur 2.216E-22 8.281E-22 5.091E-22 1.959E-21 4.583E-15 2.979E-23 5.497E-14 3.299E-14 4.913E-15 5.496E-14 3.297E-14
Brain    1.844E-24 7.897E-25 9.339E-25 4.941E-25 4.583E-15 3.670E-25 8.068E-22 1.142E-21 4.913E-15 8.068E-22 1.142E-21
Breasts  4.332E-23 8.321E-24 1.057E-23 5.776E-24 4.583E-15 4.029E-24 7.082E-22 4.887E-22 4.913E-15 7.082E-22 4.887E-22
St_Wall  5.620E-13 1.113E-21 2.830E-21 1.837E-22 4.583E-15 1.491E-23 1.194E-22 4.008E-23 4.913E-15 1.194E-22 4.008E-23
SI_Wall  3.537E-22 4.176E-13 3.517E-20 1.800E-20 4.583E-15 1.422E-22 5.900E-22 1.717E-22 4.913E-15 5.900E-22 1.717E-22
ULI_Wall 1.273E-21 7.334E-20 7.666E-13 1.070E-20 4.583E-15 1.314E-22 6.244E-22 2.576E-22 4.913E-15 6.244E-22 2.576E-22
LLI_Wall 1.038E-22 2.761E-20 3.553E-21 1.211E-12 4.583E-15 1.527E-21 2.263E-21 5.327E-22 4.913E-15 2.263E-21 5.327E-22
Kidneys  1.359E-22 2.266E-22 1.184E-22 3.607E-23 4.583E-15 1.548E-23 4.624E-22 2.166E-22 4.913E-15 4.624E-22 2.166E-22
Liver    3.126E-22 4.554E-22 8.515E-22 1.506E-23 4.583E-15 1.220E-23 2.533E-22 1.474E-22 4.913E-15 2.533E-22 1.474E-22
ET1-bas  6.174E-24 2.919E-24 3.102E-24 1.820E-24 4.583E-15 1.338E-24 3.979E-23 4.336E-23 4.913E-15 3.979E-23 4.336E-23
ET2-bas  6.174E-24 2.919E-24 3.102E-24 1.820E-24 4.583E-15 1.338E-24 3.979E-23 4.336E-23 4.913E-15 3.979E-23 4.336E-23
LN-ET    6.174E-24 2.919E-24 3.102E-24 1.820E-24 4.583E-15 1.338E-24 3.979E-23 4.336E-23 4.913E-15 3.979E-23 4.336E-23
BBi-bas  2.382E-22 1.150E-23 1.234E-23 7.024E-24 4.583E-15 3.844E-24 4.064E-22 2.850E-22 4.913E-15 4.064E-22 2.850E-22
BBi-sec  2.382E-22 1.150E-23 1.234E-23 7.024E-24 4.583E-15 3.844E-24 4.064E-22 2.850E-22 4.913E-15 4.064E-22 2.850E-22
bbe-sec  2.382E-22 1.150E-23 1.234E-23 7.024E-24 4.583E-15 3.844E-24 4.064E-22 2.850E-22 4.913E-15 4.064E-22 2.850E-22
AI       2.382E-22 1.150E-23 1.234E-23 7.024E-24 4.583E-15 3.844E-24 4.064E-22 2.850E-22 4.913E-15 4.064E-22 2.850E-22
LN-Th    2.382E-22 1.150E-23 1.234E-23 7.024E-24 4.583E-15 3.844E-24 4.064E-22 2.850E-22 4.913E-15 4.064E-22 2.850E-22
Muscle   8.191E-22 1.269E-21 7.617E-22 1.127E-21 4.583E-15 1.392E-21 7.599E-22 6.019E-22 4.913E-15 7.599E-22 6.019E-22
Ovaries  3.033E-23 1.650E-20 1.512E-20 4.782E-20 4.583E-15 6.917E-22 3.202E-22 9.365E-23 4.913E-15 3.202E-22 9.365E-23
Pancreas 1.031E-20 7.035E-23 8.611E-23 2.690E-23 4.583E-15 1.194E-23 9.798E-23 5.623E-23 4.913E-15 9.798E-23 5.623E-23
R_Marrow 7.426E-23 5.442E-22 3.427E-22 1.268E-21 4.583E-15 3.331E-23 1.225E-13 8.789E-21 4.913E-15 8.577E-14 8.789E-21
Skin     9.910E-23 2.614E-23 3.455E-23 1.697E-22 4.583E-15 8.459E-23 5.488E-22 5.808E-22 4.913E-15 5.488E-22 5.808E-22
Spleen   1.279E-21 6.493E-23 5.747E-23 3.137E-23 4.583E-15 9.983E-24 1.637E-22 1.152E-22 4.913E-15 1.637E-22 1.152E-22
Testes   6.261E-24 2.144E-23 1.836E-23 1.814E-22 4.583E-15 7.857E-22 1.822E-23 1.755E-23 4.913E-15 1.822E-23 1.755E-23
Thymus   1.829E-23 6.468E-24 6.028E-24 3.989E-24 4.583E-15 2.804E-24 2.685E-22 1.867E-22 4.913E-15 2.685E-22 1.867E-22
Thyroid  6.174E-24 2.919E-24 3.102E-24 1.820E-24 4.583E-15 1.338E-24 3.979E-23 4.336E-23 4.913E-15 3.979E-23 4.336E-23
GB_Wall  9.775E-22 3.719E-21 9.445E-21 4.394E-23 4.583E-15 2.249E-23 4.825E-23 2.457E-23 4.913E-15 4.825E-23 2.457E-23
Ht_Wall  4.757E-22 1.533E-23 1.733E-23 8.301E-24 4.583E-15 5.042E-24 1.397E-22 9.520E-23 4.913E-15 1.397E-22 9.520E-23
Uterus   2.533E-23 5.206E-21 4.640E-22 7.571E-22 4.583E-15 8.561E-21 5.328E-23 2.050E-23 4.913E-15 5.328E-23 2.050E-23
Age:15year
  T/S      St_Cont   SI_Cont  ULI_Cont  LLI_Cont     Blood   UB_Cont  T_Bone-S  C_Bone-S     Other  T_Bone-V  C_Bone-V
Adrenals 7.910E-23 2.080E-23 2.658E-23 8.284E-24 2.678E-15 4.974E-24 5.293E-22 2.764E-22 2.905E-15 5.293E-22 2.764E-22
UB_Wall  8.870E-24 6.304E-23 5.121E-23 5.279E-22 2.678E-15 8.455E-13 1.841E-23 1.071E-23 2.905E-15 1.841E-23 1.071E-23
Bone_Sur 7.062E-23 4.249E-22 2.176E-22 8.581E-22 2.678E-15 1.377E-23 3.115E-14 1.869E-14 2.905E-15 3.114E-14 1.869E-14
Brain    1.159E-24 3.710E-25 4.051E-25 2.381E-25 2.678E-15 1.705E-25 5.483E-22 7.337E-22 2.905E-15 5.483E-22 7.337E-22
Breasts  2.023E-23 5.192E-24 5.795E-24 2.882E-24 2.678E-15 1.990E-24 1.630E-22 1.016E-22 2.905E-15 1.630E-22 1.016E-22
St_Wall  3.833E-13 3.427E-22 1.146E-21 7.959E-23 2.678E-15 7.812E-24 7.869E-23 3.803E-23 2.905E-15 7.869E-23 3.803E-23
SI_Wall  1.536E-22 2.321E-13 1.608E-20 8.289E-21 2.678E-15 5.850E-23 3.359E-22 8.989E-23 2.905E-15 3.359E-22 8.989E-23
ULI_Wall 5.018E-22 3.813E-20 4.247E-13 5.794E-21 2.678E-15 4.639E-23 4.200E-22 1.133E-22 2.905E-15 4.200E-22 1.133E-22
LLI_Wall 4.155E-23 1.441E-20 1.331E-21 6.857E-13 2.678E-15 5.428E-22 1.120E-21 2.489E-22 2.905E-15 1.120E-21 2.489E-22
Kidneys  6.611E-23 9.297E-23 5.530E-23 1.994E-23 2.678E-15 8.986E-24 1.942E-22 8.045E-23 2.905E-15 1.942E-22 8.045E-23
Liver    7.496E-23 1.084E-22 1.571E-22 7.947E-24 2.678E-15 6.504E-24 1.135E-22 7.483E-23 2.905E-15 1.135E-22 7.483E-23
ET1-bas  3.436E-24 1.109E-24 1.570E-24 8.752E-25 2.678E-15 6.024E-25 3.335E-23 3.694E-23 2.905E-15 3.335E-23 3.694E-23
ET2-bas  3.436E-24 1.109E-24 1.570E-24 8.752E-25 2.678E-15 6.024E-25 3.335E-23 3.694E-23 2.905E-15 3.335E-23 3.694E-23
LN-ET    3.436E-24 1.109E-24 1.570E-24 8.752E-25 2.678E-15 6.024E-25 3.335E-23 3.694E-23 2.905E-15 3.335E-23 3.694E-23
BBi-bas  1.227E-22 7.308E-24 9.123E-24 3.764E-24 2.678E-15 2.298E-24 1.358E-22 8.591E-23 2.905E-15 1.358E-22 8.591E-23
BBi-sec  1.227E-22 7.308E-24 9.123E-24 3.764E-24 2.678E-15 2.298E-24 1.358E-22 8.591E-23 2.905E-15 1.358E-22 8.591E-23
bbe-sec  1.227E-22 7.308E-24 9.123E-24 3.764E-24 2.678E-15 2.298E-24 1.358E-22 8.591E-23 2.905E-15 1.358E-22 8.591E-23
AI       1.227E-22 7.308E-24 9.123E-24 3.764E-24 2.678E-15 2.298E-24 1.358E-22 8.591E-23 2.905E-15 1.358E-22 8.591E-23
LN-Th    1.227E-22 7.308E-24 9.123E-24 3.764E-24 2.678E-15 2.298E-24 1.358E-22 8.591E-23 2.905E-15 1.358E-22 8.591E-23
Muscle   4.470E-22 6.496E-22 3.518E-22 5.097E-22 2.678E-15 6.876E-22 4.178E-22 3.108E-22 2.905E-15 4.178E-22 3.108E-22
Ovaries  1.726E-23 7.765E-21 7.456E-21 2.445E-20 2.678E-15 2.437E-22 1.437E-22 3.965E-23 2.905E-15 1.437E-22 3.965E-23
Pancreas 4.700E-21 3.564E-23 4.488E-23 1.360E-23 2.678E-15 6.460E-24 5.440E-23 2.835E-23 2.905E-15 5.440E-23 2.835E-23
R_Marrow 3.438E-23 3.130E-22 1.692E-22 6.050E-22 2.678E-15 2.051E-23 7.118E-14 5.429E-21 2.905E-15 4.983E-14 5.429E-21
Skin     3.513E-23 1.512E-23 1.694E-23 9.909E-23 2.678E-15 3.597E-23 2.783E-22 2.762E-22 2.905E-15 2.783E-22 2.762E-22
Spleen   5.669E-22 2.908E-23 2.665E-23 1.674E-23 2.678E-15 7.009E-24 8.125E-23 5.005E-23 2.905E-15 8.125E-23 5.005E-23
Testes   2.964E-24 1.130E-23 9.948E-24 8.458E-23 2.678E-15 1.883E-22 1.047E-23 1.180E-23 2.905E-15 1.047E-23 1.180E-23
Thymus   1.442E-23 3.840E-24 4.023E-24 2.288E-24 2.678E-15 1.409E-24 1.328E-22 8.118E-23 2.905E-15 1.328E-22 8.118E-23
Thyroid  3.436E-24 1.109E-24 1.570E-24 8.752E-25 2.678E-15 6.024E-25 3.335E-23 3.694E-23 2.905E-15 3.335E-23 3.694E-23
GB_Wall  8.964E-23 7.630E-22 2.886E-21 1.847E-23 2.678E-15 1.292E-23 2.539E-23 1.248E-23 2.905E-15 2.539E-23 1.248E-23
Ht_Wall  1.399E-22 7.997E-24 1.026E-23 4.663E-24 2.678E-15 2.374E-24 7.874E-23 4.766E-23 2.905E-15 7.874E-23 4.766E-23
Uterus   1.725E-23 2.108E-21 1.913E-22 2.944E-22 2.678E-15 3.531E-21 3.666E-23 1.319E-23 2.905E-15 3.666E-23 1.319E-23
Age:adult
  T/S      St_Cont   SI_Cont  ULI_Cont  LLI_Cont     Blood   UB_Cont  T_Bone-S  C_Bone-S     Other  T_Bone-V  C_Bone-V
Adrenals 5.512E-23 1.716E-23 1.767E-23 6.549E-24 2.172E-15 3.698E-24 3.586E-22 1.593E-22 2.360E-15 3.586E-22 1.593E-22
UB_Wall  6.704E-24 4.865E-23 3.246E-23 3.427E-22 2.172E-15 6.228E-13 1.612E-23 8.270E-24 2.360E-15 1.612E-23 8.270E-24
Bone_Sur 4.858E-23 2.931E-22 1.324E-22 5.234E-22 2.172E-15 1.069E-23 3.115E-14 1.869E-14 2.360E-15 3.114E-14 1.869E-14
Brain    6.991E-25 2.513E-25 2.830E-25 1.582E-25 2.172E-15 1.087E-25 3.490E-22 5.390E-22 2.360E-15 3.490E-22 5.390E-22
Breasts  1.573E-23 3.914E-24 4.325E-24 1.992E-24 2.172E-15 1.179E-24 1.401E-22 7.229E-23 2.360E-15 1.401E-22 7.229E-23
St_Wall  2.990E-13 3.431E-22 8.065E-22 5.857E-23 2.172E-15 6.802E-24 5.017E-23 2.552E-23 2.360E-15 5.017E-23 2.552E-23
